datetime,pm1,pm25,relativehumidity,temperature,um003
2026-03-06 00:00:00+07:00,9.6,17.0,44.0,25.6,1948.0
2026-03-06 01:00:00+07:00,7.6,13.8,44.0,25.5,1630.0
2026-03-06 02:00:00+07:00,6.8,12.3,42.0,25.4,1495.0
2026-03-06 03:00:00+07:00,7.1,12.4,42.0,25.5,1536.0
2026-03-06 04:00:00+07:00,5.9,10.8,50.0,25.8,1339.0
2026-03-06 05:00:00+07:00,6.7,11.9,51.0,25.7,1469.0
2026-03-06 06:00:00+07:00,7.6,13.5,51.0,25.7,1619.0
2026-03-06 07:00:00+07:00,8.0,14.5,51.0,25.7,1690.0
2026-03-06 08:00:00+07:00,8.4,15.0,50.0,25.7,1750.0
2026-03-06 09:00:00+07:00,8.6,15.6,50.0,25.7,1786.0
2026-03-06 10:00:00+07:00,9.3,16.8,50.0,25.7,1910.0
2026-03-06 11:00:00+07:00,9.8,18.2,49.0,25.7,1998.0
2026-03-06 12:00:00+07:00,9.7,18.2,53.0,24.2,1964.0
2026-03-06 13:00:00+07:00,10.5,19.5,56.0,23.4,2076.0
2026-03-06 14:00:00+07:00,10.3,19.6,56.0,23.5,2037.0
2026-03-06 15:00:00+07:00,12.9,23.7,47.0,20.4,2435.0
2026-03-06 16:00:00+07:00,18.6,32.4,52.0,25.5,3663.0
2026-03-06 17:00:00+07:00,43.0,86.3,58.0,26.0,11501.0
2026-03-06 18:00:00+07:00,39.1,77.9,60.0,25.7,10524.0
2026-03-06 19:00:00+07:00,26.6,49.3,54.0,23.1,6161.0
2026-03-06 20:00:00+07:00,17.7,32.0,60.0,20.5,3204.0
2026-03-06 21:00:00+07:00,14.3,26.9,68.0,23.4,2701.0
2026-03-06 22:00:00+07:00,21.1,35.9,68.0,24.3,4365.0
2026-03-06 23:00:00+07:00,18.3,31.4,68.0,24.6,3541.0
2026-03-07 00:00:00+07:00,12.3,22.3,65.0,24.6,2424.0
2026-03-07 01:00:00+07:00,11.1,20.5,68.0,23.7,2215.0
2026-03-07 02:00:00+07:00,10.8,19.8,69.0,22.7,2117.0
2026-03-07 03:00:00+07:00,9.7,17.8,67.0,22.5,1904.0
2026-03-07 04:00:00+07:00,8.9,16.4,66.0,22.5,1795.0
2026-03-07 05:00:00+07:00,9.2,17.0,66.0,22.5,1821.0
2026-03-07 06:00:00+07:00,9.0,17.1,64.0,22.6,1798.0
2026-03-07 07:00:00+07:00,8.4,16.0,63.0,22.6,1699.0
2026-03-07 08:00:00+07:00,7.7,14.3,62.0,22.6,1567.0
2026-03-07 09:00:00+07:00,7.4,14.0,61.0,22.6,1546.0
2026-03-07 10:00:00+07:00,8.3,15.3,59.0,23.2,1672.0
2026-03-07 11:00:00+07:00,8.9,16.4,57.0,24.4,1808.0
2026-03-07 12:00:00+07:00,9.5,17.7,57.0,24.9,1948.0
2026-03-07 13:00:00+07:00,12.7,23.3,57.0,25.2,2500.0
2026-03-07 14:00:00+07:00,17.5,30.5,55.0,25.3,3323.0
2026-03-07 15:00:00+07:00,16.1,27.9,58.0,25.8,3061.0
2026-03-07 16:00:00+07:00,16.3,28.7,62.0,26.1,3113.0
2026-03-07 17:00:00+07:00,16.0,28.4,64.0,26.1,3062.0
2026-03-07 18:00:00+07:00,15.5,27.7,63.0,26.0,2983.0
